treeId,blockId,x,y,z,className,targetname,model,source
135,81,5568,6848,256,ent_dota_tree,,models/props_tree/dire_tree004.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
136,81,-7168,-4736,256,ent_dota_tree,,models/props_tree/tree_oak_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
137,82,5696,6848,256,ent_dota_tree,,models/props_tree/dire_tree004.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
138,82,-4224,-4736,256,ent_dota_tree,,models/props_tree/tree_oak_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
139,83,5824,6848,256,ent_dota_tree,,models/props_tree/dire_tree007.vmdl,vrf-export-entities/maps/dota/entities/world_layer_dire_base.vents
140,83,-7296,-4672,256,ent_dota_tree,,models/props_tree/tree_oak_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
141,85,-7552,-4544,256,ent_dota_tree,,models/props_tree/tree_oak_02.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
142,86,-7360,-4544,256,ent_dota_tree,,models/props_tree/tree_oak_01b.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
143,87,-7168,-4544,256,ent_dota_tree,,models/props_tree/tree_oak_02.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
144,90,-7552,-4416,256,ent_dota_tree,,models/props_tree/tree_oak_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
145,91,-7424,-4416,256,ent_dota_tree,,models/props_tree/tree_oak_02.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
146,92,-7232,-4416,256,ent_dota_tree,,models/props_tree/tree_oak_02.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
147,93,-7040,-4416,256,ent_dota_tree,,models/props_tree/tree_oak_01b.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
148,94,-7168,-4288,256,ent_dota_tree,,models/props_tree/tree_oak_02.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
149,97,-7296,-4224,256,ent_dota_tree,,models/props_tree/tree_oak_02.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
150,99,-7552,-4160,256,ent_dota_tree,,models/props_tree/tree_oak_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
151,101,-7424,-4096,256,ent_dota_tree,,models/props_tree/tree_oak_02.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
152,102,-7296,-4096,256,ent_dota_tree,,models/props_tree/tree_oak_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
153,103,-7168,-4096,256,ent_dota_tree,,models/props_tree/tree_oak_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
154,104,-7680,-3968,256,ent_dota_tree,,models/props_tree/tree_oak_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
155,105,-7552,-3968,256,ent_dota_tree,,models/props_tree/tree_oak_02.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
156,106,-7424,-3968,256,ent_dota_tree,,models/props_tree/tree_oak_02.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
157,107,-7296,-3904,256,ent_dota_tree,,models/props_tree/tree_oak_02.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
158,109,-7616,-3840,256,ent_dota_tree,,models/props_tree/tree_oak_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
159,110,-7680,-3712,256,ent_dota_tree,,models/props_tree/tree_oak_01b.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
160,111,-5888,-3648,256,ent_dota_tree,,models/props_tree/tree_oak_01.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
161,113,-7296,-3520,256,ent_dota_tree,,models/props_tree/tree_oak_01b.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
162,115,-7104,-3520,256,ent_dota_tree,,models/props_tree/tree_oak_01b.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
163,117,-7296,-3392,256,ent_dota_tree,,models/props_tree/tree_oak_01b.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
164,118,-7168,-3392,256,ent_dota_tree,,models/props_tree/tree_oak_02.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
165,119,-7296,-3264,256,ent_dota_tree,,models/props_tree/tree_oak_01b.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
166,120,-7168,-3264,256,ent_dota_tree,,models/props_tree/tree_oak_01b.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
167,122,-7296,-3136,256,ent_dota_tree,,models/props_tree/tree_oak_01b.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
168,123,-7168,-3136,256,ent_dota_tree,,models/props_tree/tree_oak_02.vmdl,vrf-export-entities/maps/dota/entities/world_layer_radiant_base.vents
169,456,8896,-9088,512,ent_dota_tree,,models/props_tree/tree_pine_01.vmdl,vrf-export-entities/maps/dota/entities/default_ents.vents
170,471,-2560,-8704,128,ent_dota_tree,,models/props_tree/tree_oak_01.vmdl,vrf-export-entities/maps/dota/entities/default_ents.vents
171,472,-2432,-8704,128,ent_dota_tree,,models/props_tree/tree_pine_01.vmdl,vrf-export-entities/maps/dota/entities/default_ents.vents
172,473,-2304,-8704,128,ent_dota_tree,,models/props_tree/tree_pine_01.vmdl,vrf-export-entities/maps/dota/entities/default_ents.vents
173,474,-2176,-8704,128,ent_dota_tree,,models/props_tree/tree_pine_01.vmdl,vrf-export-entities/maps/dota/entities/default_ents.vents
174,475,-2048,-8704,128,ent_dota_tree,,models/props_tree/tree_oak_01b.vmdl,vrf-export-entities/maps/dota/entities/default_ents.vents
175,476,-1728,-8704,128,ent_dota_tree,,models/props_tree/tree_pine_02.vmdl,vrf-export-entities/maps/dota/entities/default_ents.vents
176,477,-1600,-8704,128,ent_dota_tree,,models/props_tree/tree_pine_01.vmdl,vrf-export-entities/maps/dota/entities/default_ents.vents
177,478,-1408,-8704,128,ent_dota_tree,,models/props_tree/tree_pine_03b.vmdl,vrf-export-entities/maps/dota/entities/default_ents.vents
178,479,-1088,-8704,128,ent_dota_tree,,models/props_tree/tree_oak_02.vmdl,vrf-export-entities/maps/dota/entities/default_ents.vents
179,480,-960,-8704,128,ent_dota_tree,,models/props_tree/tree_pine_02.vmdl,vrf-export-entities/maps/dota/entities/default_ents.vents
180,481,-704,-8704,128,ent_dota_tree,,models/props_tree/tree_oak_02.vmdl,vrf-export-entities/maps/dota/entities/default_ents.vents
181,482,-576,-8704,128,ent_dota_tree,,models/props_tree/tree_oak_01b.vmdl,vrf-export-entities/maps/dota/entities/default_ents.vents
182,483,-448,-8704,128,ent_dota_tree,,models/props_tree/tree_cine_02_low.vmdl,vrf-export-entities/maps/dota/entities/default_ents.vents
183,484,-192,-8704,128,ent_dota_tree,,models/props_tree/tree_oak_01.vmdl,vrf-export-entities/maps/dota/entities/default_ents.vents
184,485,0,-8704,128,ent_dota_tree,,models/props_tree/tree_oak_01b.vmdl,vrf-export-entities/maps/dota/entities/default_ents.vents
185,486,128,-8704,128,ent_dota_tree,,models/props_tree/tree_bamboo_02.vmdl,vrf-export-entities/maps/dota/entities/default_ents.vents
186,487,256,-8704,128,ent_dota_tree,,models/props_tree/tree_pine_01.vmdl,vrf-export-entities/maps/dota/entities/default_ents.vents
187,488,640,-8704,128,ent_dota_tree,,models/props_tree/tree_oak_01.vmdl,vrf-export-entities/maps/dota/entities/default_ents.vents
